approval_id,invoice_id,employee_id,vendor_id,approval_date,invoice_amount,employee_approval_limit,decision,approval_time_hour,is_fraud_ground_truth
APR00032,INV00032,E016,V017,2025-09-16,78762.5,500000,Approved,8,0
APR00033,INV00033,E008,V006,2025-03-03,197461.27,100000,Rejected,15,0
APR00034,INV00034,E004,V003,2026-05-13,406229.42,250000,Escalated,17,0
APR00035,INV00035,E005,V026,2025-06-01,533772.68,500000,Rejected,17,0
APR00036,INV00036,E018,V030,2026-06-07,600547.99,500000,Escalated,11,0
APR00037,INV00037,E002,V028,2025-03-21,393425.69,2500000,Approved,14,0
APR00038,INV00038,E014,V006,2025-12-01,345661.91,100000,Escalated,19,0
APR00039,INV00039,E018,V020,2025-12-01,265166.56,500000,Approved,9,0
APR00040,INV00040,E009,V029,2025-08-23,447815.94,250000,Rejected,12,0
APR00041,INV00041,E011,V004,2025-08-15,126838.44,2500000,Approved,20,0
APR00042,INV00042,E004,V006,2025-08-21,398713.84,250000,Rejected,10,0
APR00043,INV00043,E019,V022,2026-02-13,337924.06,250000,Rejected,12,0
APR00044,INV00044,E001,V006,2025-09-29,247607.67,250000,Approved,14,0
APR00045,INV00045,E010,V016,2026-05-09,284668.94,500000,Approved,16,0
APR00046,INV00046,E015,V013,2025-12-08,491210.63,100000,Escalated,11,0
APR00047,INV00047,E018,V015,2025-06-01,283904.17,500000,Approved,18,0
APR00048,INV00048,E015,V015,2026-02-23,531706.15,100000,Rejected,11,0
APR00049,INV00049,E013,V024,2025-06-11,343339.46,100000,Escalated,12,0
APR00050,INV00050,E015,V011,2025-07-18,394904.6,100000,Rejected,15,0
APR00051,INV00051,E015,V002,2025-09-20,260926.39,100000,Escalated,8,0
APR00052,INV00052,E008,V014,2025-04-17,275370.83,100000,Rejected,17,0
APR00053,INV00053,E006,V022,2025-10-29,274977.87,500000,Approved,16,0
APR00054,INV00054,E008,V004,2025-06-05,94600.1,100000,Approved,18,0
APR00055,INV00055,E015,V006,2026-03-24,392745.46,100000,Rejected,11,0
APR00056,INV00056,E008,V006,2025-05-27,232790.44,100000,Escalated,13,0
APR00057,INV00057,E015,V025,2025-03-21,264089.78,100000,Escalated,19,0
APR00058,INV00058,E003,V003,2026-03-13,160182.31,500000,Approved,8,0
APR00059,INV00059,E008,V011,2025-04-08,312198.85,100000,Rejected,14,0
APR00060,INV00060,E019,V006,2026-02-07,581128.09,250000,Rejected,14,0
APR00061,INV00061,E009,V001,2026-01-11,37516.15,250000,Approved,13,0
APR00062,INV00062,E002,V010,2026-05-13,704472.57,2500000,Approved,13,0
APR00063,INV00063,E020,V019,2025-09-10,510266.46,2500000,Approved,17,0
APR00064,INV00064,E008,V019,2025-09-04,842487.59,100000,Rejected,10,0
APR00065,INV00065,E010,V015,2025-09-21,354555.39,500000,Approved,19,0
APR00066,INV00066,E020,V013,2025-02-28,317208.46,2500000,Approved,19,0
APR00067,INV00067,E020,V024,2025-12-24,276536.51,2500000,Approved,10,0
APR00068,INV00068,E015,V027,2025-05-24,334846.5,100000,Escalated,20,0
APR00069,INV00069,E012,V030,2025-11-25,271003.88,2500000,Flagged,13,1
APR00070,INV00070,E013,V009,2026-05-23,264890.09,100000,Rejected,18,0
APR00071,INV00071,E004,V021,2026-01-31,175819.85,250000,Approved,18,0
APR00072,INV00072,E016,V006,2025-03-16,217030.95,500000,Approved,16,0
APR00073,INV00073,E006,V029,2025-07-03,337378.18,500000,Approved,18,0
APR00074,INV00074,E014,V029,2025-05-16,295156.61,100000,Escalated,11,0
APR00075,INV00075,E017,V023,2026-03-26,68268.6,2500000,Approved,19,0
APR00076,INV00076,E018,V007,2025-01-21,670099.27,500000,Escalated,16,0
APR00077,INV00077,E002,V024,2025-03-17,171801.22,2500000,Approved,9,0
APR00078,INV00078,E004,V012,2025-04-15,112392.24,250000,Approved,9,0
APR00079,INV00079,E013,V016,2026-01-31,286405.79,100000,Rejected,11,0
APR00080,INV00080,E005,V021,2026-05-09,230093.63,500000,Approved,8,0
APR00081,INV00081,E002,V030,2025-08-10,241372.06,2500000,Approved,11,0
APR00082,INV00082,E005,V015,2025-06-04,340671.81,500000,Approved,20,0
APR00083,INV00083,E006,V020,2025-11-18,161852.92,500000,Approved,11,0
APR00084,INV00084,E011,V009,2025-08-04,834819.01,2500000,Approved,16,0
APR00085,INV00085,E001,V008,2025-02-15,475917.57,250000,Escalated,20,0
APR00086,INV00086,E008,V005,2026-05-06,211669.12,100000,Escalated,11,0
APR00087,INV00087,E002,V016,2026-04-05,163720.92,2500000,Approved,17,0
APR00088,INV00088,E013,V027,2025-03-10,229384.26,100000,Escalated,13,0
APR00089,INV00089,E009,V030,2025-01-31,369678.3,250000,Rejected,11,0
APR00090,INV00090,E004,V027,2026-02-05,176800.7,250000,Approved,20,0
APR00091,INV00091,E011,V010,2025-12-26,670201.83,2500000,Approved,16,0
APR00092,INV00092,E020,V016,2026-05-04,391751.92,2500000,Approved,13,0
APR00093,INV00093,E011,V008,2026-03-03,536418.97,2500000,Approved,18,0
APR00094,INV00094,E017,V006,2026-05-07,665989.8,2500000,Approved,19,0
APR00095,INV00095,E010,V020,2025-02-08,128755.64,500000,Approved,18,0
APR00096,INV00096,E002,V030,2025-06-01,310883.63,2500000,Approved,19,0
APR00097,INV00097,E018,V015,2026-02-22,293823.94,500000,Approved,12,0
APR00098,INV00098,E006,V010,2025-12-19,345203.91,500000,Approved,12,0
APR00099,INV00099,E015,V028,2025-06-21,474235.85,100000,Escalated,11,0
APR00100,INV00100,E017,V017,2026-04-08,95997.49,2500000,Approved,17,0
APR00101,INV00101,E002,V027,2025-07-12,196760.48,2500000,Approved,18,0
APR00102,INV00102,E015,V023,2026-04-19,43640.28,100000,Approved,16,0
APR00103,INV00103,E005,V024,2026-03-02,325359.08,500000,Approved,15,0
APR00104,INV00104,E003,V007,2025-12-07,195816.54,500000,Approved,18,0
APR00105,INV00105,E009,V004,2025-02-02,111187.9,250000,Approved,10,0
APR00106,INV00106,E002,V020,2025-07-07,205600.98,2500000,Approved,12,0
APR00107,INV00107,E019,V006,2025-12-29,240060.76,250000,Approved,17,0
APR00108,INV00108,E003,V028,2025-02-18,189155.11,500000,Approved,8,0
APR00109,INV00109,E002,V003,2025-01-17,174276.78,2500000,Approved,19,0
APR00110,INV00110,E001,V004,2025-12-04,75240.84,250000,Approved,10,0
APR00111,INV00111,E015,V029,2025-08-10,439045.06,100000,Escalated,18,0
APR00112,INV00112,E009,V014,2026-03-03,287662.18,250000,Escalated,16,0
APR00113,INV00113,E017,V024,2026-01-04,2466939.64,2500000,Approved,14,1
APR00114,INV00114,E005,V010,2025-06-14,608343.75,500000,Escalated,17,0
APR00115,INV00115,E006,V004,2026-06-11,114116.06,500000,Approved,12,0
APR00116,INV00116,E009,V018,2025-11-23,348824.93,250000,Rejected,15,0
APR00117,INV00117,E014,V019,2025-10-27,382555.14,100000,Escalated,19,0
APR00118,INV00118,E009,V021,2025-02-16,177862.69,250000,Approved,9,0
APR00119,INV00119,E005,V024,2026-03-29,258701.08,500000,Approved,12,0
APR00120,INV00120,E011,V025,2025-09-25,575080.71,2500000,Approved,8,0
APR00121,INV00121,E011,V029,2025-12-10,531821.54,2500000,Approved,14,0
APR00122,INV00122,E014,V019,2025-09-15,392556.86,100000,Escalated,18,0
APR00123,INV00123,E020,V030,2025-10-02,495825.66,2500000,Approved,13,1
APR00124,INV00124,E012,V014,2025-01-01,304496.32,2500000,Approved,18,0
APR00125,INV00125,E001,V022,2025-04-26,434790.18,250000,Escalated,10,0
APR00126,INV00126,E009,V018,2025-12-02,584163.1,250000,Escalated,10,0
APR00127,INV00127,E016,V009,2025-03-23,355736.98,500000,Approved,9,0
APR00128,INV00128,E010,V007,2026-03-31,223089.43,500000,Approved,13,0
APR00129,INV00129,E006,V011,2025-12-31,286003.11,500000,Approved,14,0
APR00130,INV00130,E003,V008,2025-10-09,427374.03,500000,Approved,19,0
APR00131,INV00131,E005,V010,2025-07-22,327132.63,500000,Approved,14,0
APR00132,INV00132,E005,V016,2026-06-12,184653.55,500000,Approved,10,0
APR00133,INV00133,E006,V029,2025-01-21,368558.46,500000,Approved,17,0
APR00134,INV00134,E012,V010,2025-12-07,406544.54,2500000,Approved,8,0
APR00135,INV00135,E007,V013,2025-10-10,603648.92,2500000,Approved,12,0
APR00136,INV00136,E002,V004,2025-05-02,84147.26,2500000,Approved,16,1
APR00137,INV00137,E007,V030,2025-03-01,524778.06,2500000,Approved,11,1
APR00138,INV00138,E001,V006,2025-01-30,226708.36,250000,Approved,19,0
APR00139,INV00139,E004,V004,2025-10-05,474235.85,250000,Rejected,16,1
APR00140,INV00140,E010,V019,2026-03-06,612982.82,500000,Escalated,17,0
APR00141,INV00141,E019,V018,2025-06-30,543359.19,250000,Escalated,10,0
APR00142,INV00142,E003,V017,2026-01-23,57946.06,500000,Approved,8,0
APR00143,INV00143,E007,V017,2026-05-08,784025.9,2500000,Approved,12,1
APR00144,INV00144,E010,V015,2026-01-16,329667.35,500000,Approved,19,0
APR00145,INV00145,E013,V008,2025-12-04,1599579.55,100000,Rejected,12,1
APR00146,INV00146,E013,V024,2025-11-19,142458.36,100000,Rejected,13,0
APR00147,INV00147,E010,V018,2025-03-28,427447.51,500000,Approved,17,0
APR00148,INV00148,E009,V013,2025-04-18,548061.11,250000,Rejected,20,0
APR00149,INV00149,E020,V016,2025-09-30,264193.72,2500000,Approved,19,0
APR00150,INV00150,E005,V001,2026-06-04,90226.38,500000,Approved,16,0
APR00151,INV00151,E013,V002,2026-05-17,346581.82,100000,Rejected,9,0
APR00152,INV00152,E014,V019,2026-01-31,377688.22,100000,Rejected,9,0
APR00153,INV00153,E010,V016,2026-01-22,165303.21,500000,Approved,17,0
APR00154,INV00154,E001,V016,2025-07-17,324235.32,250000,Rejected,14,0
APR00155,INV00155,E019,V018,2025-10-06,311932.38,250000,Escalated,9,0
APR00156,INV00156,E004,V023,2026-04-01,53309.03,250000,Approved,17,0
APR00157,INV00157,E006,V004,2025-02-20,242499.03,500000,Flagged,18,1
APR00158,INV00158,E018,V021,2025-07-01,97645.33,500000,Approved,12,0
APR00159,INV00159,E006,V005,2025-10-01,113286.37,500000,Approved,13,0
APR00160,INV00160,E001,V011,2025-08-27,275370.83,250000,Rejected,17,1
APR00161,INV00161,E018,V011,2026-01-04,305800.95,500000,Approved,11,0
APR00162,INV00162,E003,V015,2025-01-26,345852.88,500000,Approved,10,0
APR00163,INV00163,E009,V021,2025-10-17,118976.19,250000,Approved,20,0
APR00164,INV00164,E007,V016,2025-07-19,2421725.74,2500000,Approved,12,1
APR00165,INV00165,E010,V011,2025-06-23,276328.35,500000,Approved,10,0
APR00166,INV00166,E005,V012,2025-11-14,119101.15,500000,Approved,18,0
APR00167,INV00167,E009,V026,2026-01-30,245262.01,250000,Approved,13,1
APR00168,INV00168,E005,V004,2026-02-13,89094.96,500000,Approved,20,0
APR00169,INV00169,E019,V009,2026-06-10,256992.39,250000,Rejected,14,0
APR00170,INV00170,E011,V030,2025-03-20,529025.45,2500000,Approved,20,1
APR00171,INV00171,E017,V004,2025-10-02,49894.42,2500000,Approved,18,0
APR00172,INV00172,E001,V010,2025-03-12,470593.56,250000,Escalated,10,1
APR00173,INV00173,E009,V017,2025-01-05,88471.32,250000,Approved,20,0
APR00174,INV00174,E018,V028,2025-09-27,193454.33,500000,Approved,18,0
APR00175,INV00175,E018,V013,2026-04-07,375414.14,500000,Approved,16,0
APR00176,INV00176,E015,V012,2025-06-11,114721.77,100000,Escalated,11,0
APR00177,INV00177,E014,V022,2025-09-05,323401.52,100000,Escalated,18,0
APR00178,INV00178,E009,V006,2025-07-06,564870.75,250000,Rejected,18,0
APR00179,INV00179,E018,V004,2025-01-30,92459.62,500000,Approved,11,0
APR00180,INV00180,E015,V018,2025-01-21,325927.34,100000,Rejected,15,0
APR00181,INV00181,E015,V021,2025-07-04,162447.56,100000,Escalated,8,0
APR00182,INV00182,E004,V004,2026-01-16,52983.77,250000,Approved,13,0
APR00183,INV00183,E004,V016,2025-03-01,225193.94,250000,Approved,9,0
APR00184,INV00184,E007,V016,2025-01-08,2409471.82,2500000,Approved,15,1
APR00185,INV00185,E005,V023,2025-06-29,68918.56,500000,Approved,16,0
APR00186,INV00186,E009,V009,2025-07-26,62565.28,250000,Flagged,20,1
APR00187,INV00187,E001,V019,2025-05-01,585422.5,250000,Rejected,10,0
APR00188,INV00188,E001,V007,2025-09-27,375127.69,250000,Rejected,20,0
APR00189,INV00189,E016,V003,2026-01-28,253657.8,500000,Approved,9,0
APR00190,INV00190,E015,V026,2026-03-08,95997.49,100000,Approved,8,1
APR00191,INV00191,E020,V028,2025-08-27,449545.78,2500000,Approved,10,1
APR00192,INV00192,E015,V024,2026-03-04,240060.77,100000,Escalated,13,1
APR00193,INV00193,E006,V023,2026-06-08,80388.55,500000,Approved,15,0
APR00194,INV00194,E020,V013,2025-07-30,405303.28,2500000,Approved,8,0
APR00195,INV00195,E018,V026,2026-05-06,524970.82,500000,Rejected,19,0
APR00196,INV00196,E010,V013,2025-05-18,439462.61,500000,Approved,18,0
APR00197,INV00197,E012,V019,2025-10-22,804997.13,2500000,Approved,9,0
APR00198,INV00198,E001,V013,2026-02-24,497099.44,250000,Escalated,18,0
APR00199,INV00199,E011,V028,2025-10-26,344964.22,2500000,Approved,13,0
APR00200,INV00200,E004,V006,2026-05-13,744145.08,250000,Rejected,12,0
APR00201,INV00201,E002,V008,2025-06-30,649854.72,2500000,Approved,20,0
APR00202,INV00202,E006,V018,2025-05-19,646351.5,500000,Rejected,14,0
APR00203,INV00203,E018,V008,2025-05-19,526018.23,500000,Escalated,10,0
APR00204,INV00204,E010,V006,2025-08-25,240640.16,500000,Approved,18,0
APR00205,INV00205,E010,V023,2025-06-18,254740.19,500000,Flagged,16,1
APR00206,INV00206,E018,V027,2025-03-03,114216.47,500000,Approved,16,0
APR00207,INV00207,E008,V010,2026-01-01,400759.7,100000,Escalated,11,0
APR00208,INV00208,E018,V014,2025-05-16,646351.5,500000,Escalated,13,1
APR00209,INV00209,E014,V004,2025-02-24,84314.16,100000,Approved,18,0
APR00210,INV00210,E018,V011,2026-02-05,338259.81,500000,Approved,10,0
APR00211,INV00211,E008,V029,2026-04-11,411010.22,100000,Rejected,17,0
APR00212,INV00212,E011,V017,2025-05-17,93512.29,2500000,Approved,18,0
APR00213,INV00213,E013,V010,2025-06-26,334806.89,100000,Escalated,20,0
APR00214,INV00214,E001,V012,2025-07-22,162895.14,250000,Approved,12,0
APR00215,INV00215,E019,V004,2026-05-03,96187.04,250000,Approved,11,0
APR00216,INV00216,E011,V024,2026-06-12,476157.21,2500000,Approved,20,0
APR00217,INV00217,E003,V001,2026-01-12,72934.29,500000,Approved,14,0
APR00218,INV00218,E012,V023,2025-12-03,51636.42,2500000,Approved,15,0
APR00219,INV00219,E018,V016,2025-01-25,264526.74,500000,Approved,14,0
APR00220,INV00220,E016,V002,2025-12-13,509543.23,500000,Rejected,14,0
APR00221,INV00221,E015,V022,2025-06-15,317763.84,100000,Rejected,16,0
APR00222,INV00222,E002,V007,2025-04-17,397151.4,2500000,Approved,13,0
APR00223,INV00223,E013,V018,2025-04-25,594443.12,100000,Rejected,13,0
APR00224,INV00224,E013,V010,2025-01-24,436633.43,100000,Escalated,13,0
APR00225,INV00225,E016,V010,2025-04-23,193407.04,500000,Approved,16,0
APR00226,INV00226,E016,V015,2025-10-07,346858.4,500000,Approved,18,0
APR00227,INV00227,E020,V019,2026-03-19,581289.43,2500000,Approved,15,0
APR00228,INV00228,E003,V003,2025-06-03,299701.93,500000,Approved,16,0
APR00229,INV00229,E019,V019,2026-03-27,1909870.16,250000,Rejected,13,1
APR00230,INV00230,E008,V001,2026-06-12,48257.62,100000,Approved,18,0
APR00231,INV00231,E010,V013,2026-03-22,445872.63,500000,Approved,13,0
APR00232,INV00232,E015,V018,2025-08-18,568143.69,100000,Escalated,13,0
APR00233,INV00233,E012,V017,2025-12-16,102911.77,2500000,Approved,8,0
APR00234,INV00234,E019,V003,2025-06-04,364148.18,250000,Rejected,11,0
APR00235,INV00235,E017,V022,2025-02-10,411392.29,2500000,Approved,17,0
APR00236,INV00236,E015,V003,2025-05-06,208030.66,100000,Rejected,9,0
APR00237,INV00237,E010,V027,2025-01-15,326419.96,500000,Approved,10,0
APR00238,INV00238,E019,V016,2025-01-28,405124.5,250000,Rejected,18,0
APR00239,INV00239,E014,V028,2026-02-13,355491.49,100000,Rejected,19,0
APR00240,INV00240,E006,V008,2025-09-05,727178.65,500000,Escalated,13,0
APR00241,INV00241,E008,V026,2025-01-22,198785.37,100000,Rejected,13,0
APR00242,INV00242,E010,V005,2026-01-07,103862.42,500000,Approved,14,0
APR00243,INV00243,E001,V018,2025-03-02,246545.62,250000,Approved,10,1
APR00244,INV00244,E003,V002,2025-02-08,721655.47,500000,Rejected,13,0
APR00245,INV00245,E001,V017,2025-06-13,62684.25,250000,Approved,11,0
APR00246,INV00246,E011,V018,2025-03-08,650428.31,2500000,Approved,16,0
APR00247,INV00247,E016,V021,2025-09-08,87483.73,500000,Approved,9,0
APR00248,INV00248,E015,V027,2025-06-09,317211.01,100000,Escalated,15,0
APR00249,INV00249,E020,V028,2025-09-25,451322.22,2500000,Approved,16,1
APR00250,INV00250,E020,V013,2025-10-10,325785.43,2500000,Approved,9,0
APR00251,INV00251,E004,V003,2026-02-06,422990.42,250000,Rejected,20,0
APR00252,INV00252,E003,V023,2025-02-06,52904.79,500000,Approved,15,0
APR00253,INV00253,E017,V002,2026-04-23,251447.29,2500000,Approved,15,0
APR00254,INV00254,E004,V022,2026-05-27,260761.6,250000,Rejected,8,0
APR00255,INV00255,E016,V021,2025-07-23,169585.43,500000,Approved,10,0
APR00256,INV00256,E007,V030,2025-09-15,264545.44,2500000,Approved,18,0
APR00257,INV00257,E012,V026,2026-02-09,369783.39,2500000,Approved,14,0
APR00258,INV00258,E006,V018,2026-02-27,369533.79,500000,Approved,16,0
APR00259,INV00259,E011,V026,2026-06-07,358361.23,2500000,Approved,20,0
APR00260,INV00260,E004,V027,2025-04-29,125443.05,250000,Approved,13,0
APR00261,INV00261,E012,V029,2025-06-08,395506.03,2500000,Approved,12,0
APR00262,INV00262,E008,V011,2025-10-06,578367.13,100000,Rejected,18,0
APR00263,INV00263,E004,V012,2025-03-27,107719.72,250000,Approved,8,0
APR00264,INV00264,E019,V012,2025-02-26,188874.54,250000,Approved,13,0
APR00265,INV00265,E016,V026,2026-03-05,350194.05,500000,Flagged,11,1
APR00266,INV00266,E020,V025,2026-05-09,398307.68,2500000,Approved,14,0
APR00267,INV00267,E005,V020,2026-02-04,408650.29,500000,Approved,8,0
APR00268,INV00268,E016,V025,2026-05-24,248309.8,500000,Approved,8,1
APR00269,INV00269,E019,V018,2025-12-19,433388.36,250000,Rejected,10,0
APR00270,INV00270,E014,V029,2025-08-13,167276.66,100000,Rejected,17,0
APR00271,INV00271,E017,V010,2025-07-12,293574.81,2500000,Approved,13,0
APR00272,INV00272,E008,V005,2025-03-29,226259.49,100000,Rejected,17,0
APR00273,INV00273,E019,V009,2025-08-21,337626.61,250000,Escalated,12,0
APR00274,INV00274,E006,V005,2025-12-04,69947.1,500000,Approved,19,0
APR00275,INV00275,E001,V016,2025-01-19,184322.4,250000,Approved,12,0
APR00276,INV00276,E007,V029,2025-01-07,306271.17,2500000,Approved,18,0
APR00277,INV00277,E007,V016,2026-03-21,271931.4,2500000,Approved,18,0
APR00278,INV00278,E009,V008,2025-04-03,612184.65,250000,Escalated,13,0
APR00279,INV00279,E010,V008,2025-02-28,217360.95,500000,Approved,16,0
APR00280,INV00280,E020,V020,2025-01-14,434919.92,2500000,Approved,9,1
APR00281,INV00281,E014,V019,2025-03-03,627946.91,100000,Escalated,20,0
APR00282,INV00282,E010,V023,2025-01-23,122795.5,500000,Approved,20,0
APR00283,INV00283,E001,V012,2025-12-19,132326.66,250000,Approved,18,0
APR00284,INV00284,E004,V017,2025-11-28,81630.66,250000,Approved,20,0
APR00285,INV00285,E019,V005,2025-07-23,75840.96,250000,Approved,20,0
APR00286,INV00286,E008,V001,2025-01-03,66280.02,100000,Approved,17,0
APR00287,INV00287,E010,V007,2025-02-16,481399.2,500000,Approved,15,0
APR00288,INV00288,E018,V013,2025-03-08,327298.88,500000,Flagged,10,1
APR00289,INV00289,E009,V012,2026-05-17,155946.66,250000,Approved,10,0
APR00290,INV00290,E011,V029,2025-09-02,313731.75,2500000,Approved,19,0
APR00291,INV00291,E013,V014,2026-03-07,329553.93,100000,Escalated,9,0
APR00292,INV00292,E019,V007,2026-03-15,213001.3,250000,Approved,9,0
APR00293,INV00293,E010,V005,2025-06-10,235346.33,500000,Approved,14,0
APR00294,INV00294,E008,V006,2026-04-15,459756.06,100000,Rejected,15,0
APR00295,INV00295,E012,V028,2025-03-21,359814.33,2500000,Approved,8,0
APR00296,INV00296,E014,V013,2025-05-10,555204.51,100000,Escalated,12,0
APR00297,INV00297,E013,V017,2026-01-09,66155.05,100000,Approved,10,0
APR00298,INV00298,E005,V016,2026-03-17,177369.06,500000,Approved,11,0
APR00299,INV00299,E012,V030,2025-06-03,562268.49,2500000,Approved,10,0
APR00300,INV00300,E019,V026,2026-03-04,537810.46,250000,Rejected,16,0
APR00301,INV00301,E009,V006,2025-05-06,164510.8,250000,Approved,14,0
APR00302,INV00302,E005,V025,2025-07-31,198911.94,500000,Approved,20,0
APR00303,INV00303,E017,V010,2026-01-04,478132.5,2500000,Approved,8,0
APR00304,INV00304,E012,V012,2026-03-08,123057.93,2500000,Approved,18,0
APR00305,INV00305,E010,V012,2025-06-11,106739.06,500000,Approved,19,0
APR00306,INV00306,E007,V019,2025-11-08,552375.71,2500000,Approved,14,0
APR00307,INV00307,E015,V021,2025-02-05,104291.02,100000,Rejected,17,0
APR00308,INV00308,E002,V011,2025-11-08,318445.25,2500000,Approved,13,0
APR00309,INV00309,E014,V023,2025-04-02,69735.3,100000,Approved,15,0
APR00310,INV00310,E002,V008,2026-04-14,697863.04,2500000,Approved,19,0
APR00311,INV00311,E017,V025,2025-10-18,360611.63,2500000,Approved,14,0
APR00312,INV00312,E014,V001,2025-10-13,73194.29,100000,Approved,15,0
APR00313,INV00313,E010,V001,2025-09-29,134022.63,500000,Approved,20,0
APR00314,INV00314,E017,V027,2026-06-05,143486.26,2500000,Approved,14,0
APR00315,INV00315,E018,V001,2026-05-30,149872.45,500000,Approved,17,1
APR00316,INV00316,E009,V007,2025-10-25,414917.26,250000,Escalated,11,0
APR00317,INV00317,E009,V021,2025-08-18,80333.12,250000,Approved,17,0
APR00318,INV00318,E004,V006,2025-07-30,262659.75,250000,Escalated,8,0
APR00319,INV00319,E012,V006,2025-01-19,245502.74,2500000,Approved,12,0
APR00320,INV00320,E002,V011,2025-10-11,80333.12,2500000,Approved,19,1
APR00321,INV00321,E017,V010,2025-10-13,411859.35,2500000,Approved,16,0
APR00322,INV00322,E004,V006,2025-04-21,436633.43,250000,Escalated,10,1
APR00323,INV00323,E005,V029,2025-01-19,203702.33,500000,Approved,20,0
APR00324,INV00324,E009,V022,2026-03-03,747240.17,250000,Rejected,11,0
APR00325,INV00325,E011,V018,2025-08-22,370045.99,2500000,Approved,18,0
APR00326,INV00326,E001,V020,2025-02-08,248822.66,250000,Approved,20,0
APR00327,INV00327,E017,V002,2026-03-13,477959.72,2500000,Approved,11,0
APR00328,INV00328,E004,V030,2025-01-27,386753.56,250000,Escalated,16,0
APR00329,INV00329,E011,V017,2025-02-24,118798.65,2500000,Approved,13,1
APR00330,INV00330,E005,V008,2025-07-08,255145.89,500000,Approved,8,0
APR00331,INV00331,E011,V022,2025-11-06,184653.55,2500000,Approved,9,1
APR00332,INV00332,E010,V029,2026-01-31,202108.87,500000,Approved,19,0
APR00333,INV00333,E013,V016,2026-03-31,180290.92,100000,Escalated,18,0
APR00334,INV00334,E001,V011,2025-09-21,242141.7,250000,Flagged,15,1
APR00335,INV00335,E007,V020,2025-11-02,174542.35,2500000,Approved,15,1
APR00336,INV00336,E005,V022,2026-01-07,525165.01,500000,Rejected,18,0
APR00337,INV00337,E006,V016,2026-02-15,165003.05,500000,Approved,19,0
APR00338,INV00338,E014,V018,2025-12-30,678926.28,100000,Rejected,18,0
APR00339,INV00339,E015,V028,2025-01-31,255202.19,100000,Escalated,15,0
APR00340,INV00340,E003,V014,2025-04-29,369375.58,500000,Approved,20,0
APR00341,INV00341,E014,V023,2025-07-08,63805.17,100000,Approved,15,0
APR00342,INV00342,E013,V020,2025-01-25,139666.92,100000,Rejected,16,0
APR00343,INV00343,E005,V023,2026-02-10,569293.57,500000,Rejected,10,1
APR00344,INV00344,E015,V007,2025-07-21,433245.18,100000,Rejected,12,0
APR00345,INV00345,E007,V013,2025-10-14,337083.33,2500000,Approved,19,0
APR00346,INV00346,E004,V023,2026-02-05,55293.42,250000,Approved,14,0
APR00347,INV00347,E007,V007,2025-10-08,403506.77,2500000,Approved,14,0
APR00348,INV00348,E014,V004,2025-10-25,57573.63,100000,Approved,18,0
APR00349,INV00349,E010,V027,2025-01-10,128343.39,500000,Approved,12,0
